Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Percentages;Distribution;Opmerkingen
BaMa;BaMa;TRUE;numeric;0;1;2;NA;FALSE;1: (70%) | 2: (30%);Q1 = 1  | median = 1  | Q3 =  2  | mean = 1.3  | stdev = 0.457;
Gemeentecode;Gemeentecode;TRUE;numeric;0;363;363;NA;FALSE;363: (100%);Q1 = 363  | median = 363  | Q3 =  363  | mean = 363  | stdev = 0;
Stedelijkheid;Stedelijkheid;TRUE;numeric;0;1;1;NA;FALSE;1: (100%);Q1 = 1  | median = 1  | Q3 =  1  | mean = 1  | stdev = 0;
Landsdeel;Landsdeel;TRUE;numeric;0;3;3;NA;FALSE;3: (100%);Q1 = 3  | median = 3  | Q3 =  3  | mean = 3  | stdev = 0;
Fixus;Fixus;TRUE;numeric;0;0;4;NA;FALSE;0: (86%) | 4: (14%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0.547  | stdev = 1.37;
Decentraal;Decentraal;TRUE;numeric;0;0;1;NA;FALSE;0: (86%) | 1: (14%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0.137  | stdev = 0.344;
Bekostiging;Bekostiging;TRUE;numeric;0;1;4;NA;FALSE;1: (98.7%) | 4: ( 1.3%);Q1 = 1  | median = 1  | Q3 =  1  | mean = 1.04  | stdev = 0.339;
Opleidingsvorm3;Opleidingsvorm3;TRUE;numeric;27,44886975;1;2;NA;FALSE;1: (72%) | 2: (28%);Q1 = 1  | median = 1  | Q3 =  1  | mean = 1  | stdev = 0.0385;
Opleidingsvorm2;Opleidingsvorm2;TRUE;numeric;0;1;2;NA;FALSE;1: ( 99.89%) | 2: (  0.11%);Q1 = 1  | median = 1  | Q3 =  1  | mean = 1  | stdev = 0.0328;
Geslacht;Geslacht;TRUE;numeric;30,78579117;1;2;NA;FALSE;2: (42%) | 1: (58%);Q1 = 1  | median = 2  | Q3 =  2  | mean = 1.6  | stdev = 0.49;
Leeftijd;Leeftijd;TRUE;numeric;30,78579117;17;54;NA;FALSE;20: (11.7%) | 19: (10.8%) | 21: (10.5%) | 18: ( 8.6%) | 23: ( 7.2%) | 22: ( 6.1%) | 24: ( 5.2%) | 25: ( 2.5%) | 26: ( 1.8%) | Other: (35.5%);Q1 = 19  | median = 21  | Q3 =  23  | mean = 21.4  | stdev = 3.43;
Vooropleiding;Vooropleiding;TRUE;numeric;30,78579117;2;14;NA;FALSE;2: (30.03%) | 10: (16.68%) | 9: (10.01%) | 12: ( 6.67%) | 5: ( 2.91%) | 8: ( 1.40%) | 14: ( 1.29%) | 7: ( 0.11%) | 11: (30.89%);Q1 = 2  | median = 9  | Q3 =  10  | mean = 6.4  | stdev = 4.1;
Studiejaar;Studiejaar;TRUE;numeric;30,78579117;1;2;NA;FALSE;2: (47%) | 1: (53%);Q1 = 1  | median = 2  | Q3 =  2  | mean = 1.67  | stdev = 0.47;
StudiejaarStudent;StudiejaarStudent;TRUE;numeric;33,26157158;1;7;NA;FALSE;1: (19.8%) | 2: (13.1%) | 3: (12.5%) | 5: ( 9.9%) | 6: ( 8.0%) | 7: ( 2.9%) | 4: (33.8%);Q1 = 1  | median = 3  | Q3 =  5  | mean = 3.05  | stdev = 1.94;
TypeStudent;TypeStudent;TRUE;numeric;30,78579117;1;3;NA;FALSE;1: (67.0%) | 3: ( 1.5%) | 2: (31.5%);Q1 = 1  | median = 1  | Q3 =  1  | mean = 1.05  | stdev = 0.308;
BrinVolgNummerActueel;BrinVolgNummerActueel;TRUE;numeric;27,44886975;0;0;NA;FALSE;0: (100%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0  | stdev = 0;
Woonsituatie;Woonsituatie;TRUE;numeric;31,43164693;1;5;NA;FALSE;2: (37.5%) | 1: (14.0%) | 4: ( 8.9%) | 3: ( 7.8%) | 5: (31.9%);Q1 = 2  | median = 2  | Q3 =  2  | mean = 2.19  | stdev = 0.928;
Afbouw;Afbouw;TRUE;numeric;0;2;2;NA;FALSE;2: (100%);Q1 = 2  | median = 2  | Q3 =  2  | mean = 2  | stdev = 0;
Toestemmingsvraag;Toestemmingsvraag;TRUE;numeric;0;1;2;NA;FALSE;1: (69%) | 2: (31%);Q1 = 1  | median = 1  | Q3 =  2  | mean = 1.31  | stdev = 0.462;
AlgemeenOordeel_01;AlgemeenOordeel_01;TRUE;numeric;0,430570506;1;5;NA;FALSE;4: (55.7%) | 5: (28.1%) | 3: (12.5%) | 2: ( 2.7%) | 1: ( 1.1%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.08  | stdev = 0.753;
AlgemeenOordeel_02;AlgemeenOordeel_02;TRUE;numeric;2,691065662;1;5;NA;FALSE;4: (56.9%) | 5: (23.6%) | 3: (14.7%) | 2: ( 1.8%) | 1: ( 2.9%);Q1 = 4  | median = 4  | Q3 =  4  | mean = 4.05  | stdev = 0.698;
AlgemeenOordeel_03;AlgemeenOordeel_03;TRUE;numeric;2,691065662;1;5;NA;FALSE;4: (48.3%) | 5: (24.8%) | 3: (20.5%) | 2: ( 3.4%) | 1: ( 3.0%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 3.96  | stdev = 0.797;
AlgemeenOordeel_04;AlgemeenOordeel_04;TRUE;numeric;2,798708288;1;5;NA;FALSE;4: (48.7%) | 5: (27.3%) | 3: (17.3%) | 2: ( 3.7%) | 1: ( 3.0%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.02  | stdev = 0.794;
AlgemeenOordeel_16;AlgemeenOordeel_16;TRUE;numeric;5,382131324;1;5;NA;FALSE;3: (34.7%) | 4: (31.5%) | 2: (14.1%) | 5: (12.8%) | 1: ( 6.9%);Q1 = 3  | median = 3  | Q3 =  4  | mean = 3.42  | stdev = 0.954;
AlgemeenOordeel_06;AlgemeenOordeel_06;TRUE;numeric;2,583423036;1;5;NA;FALSE;4: (49.0%) | 3: (23.5%) | 5: (18.3%) | 2: ( 5.1%) | 1: ( 4.2%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.79  | stdev = 0.862;
AlgemeenOordeel_07;AlgemeenOordeel_07;TRUE;numeric;2,691065662;1;5;NA;FALSE;4: (42.4%) | 3: (28.0%) | 5: (15.3%) | 2: (10.4%) | 1: ( 3.9%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.62  | stdev = 0.916;
AlgemeenOordeel_08;AlgemeenOordeel_08;TRUE;numeric;3,121636168;1;5;NA;FALSE;4: (41.4%) | 5: (25.4%) | 3: (19.6%) | 2: ( 8.4%) | 1: ( 5.2%);Q1 = 3  | median = 4  | Q3 =  5  | mean = 3.82  | stdev = 0.985;
AlgemeenOordeel_09;AlgemeenOordeel_09;TRUE;numeric;2,583423036;1;5;NA;FALSE;4: (48.1%) | 3: (23.1%) | 5: (17.0%) | 2: ( 7.2%) | 1: ( 4.5%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.73  | stdev = 0.903;
AlgemeenOordeel_10;AlgemeenOordeel_10;TRUE;numeric;2,691065662;1;5;NA;FALSE;4: (47.7%) | 5: (22.6%) | 3: (19.6%) | 2: ( 6.1%) | 1: ( 4.0%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.87  | stdev = 0.888;
AlgemeenOordeel_11;AlgemeenOordeel_11;TRUE;numeric;2,798708288;1;5;NA;FALSE;4: (48.2%) | 3: (26.5%) | 5: (14.2%) | 2: ( 6.5%) | 1: ( 4.6%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.68  | stdev = 0.869;
AlgemeenOordeel_12;AlgemeenOordeel_12;TRUE;numeric;5,382131324;1;5;NA;FALSE;4: (34.8%) | 3: (28.3%) | 5: (16.6%) | 2: (11.8%) | 1: ( 8.5%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.53  | stdev = 1.02;
AlgemeenOordeel_14;AlgemeenOordeel_14;TRUE;numeric;2,798708288;1;5;NA;FALSE;5: (41.6%) | 4: (38.0%) | 3: (12.8%) | 2: ( 3.4%) | 1: ( 4.2%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.18  | stdev = 0.894;
AlgemeenOordeel_15;AlgemeenOordeel_15;TRUE;numeric;3,336921421;1;5;NA;FALSE;4: (38.0%) | 5: (23.4%) | 3: (22.8%) | 2: (10.3%) | 1: ( 5.5%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.72  | stdev = 1.02;
AlgemeenOordeel_17;AlgemeenOordeel_17;TRUE;numeric;2,691065662;1;5;NA;FALSE;5: (49.5%) | 4: (32.9%) | 3: ( 9.6%) | 2: ( 4.4%) | 1: ( 3.6%);Q1 = 4  | median = 5  | Q3 =  5  | mean = 4.29  | stdev = 0.885;
AlgemeenOordeel_18;AlgemeenOordeel_18;TRUE;numeric;2,798708288;1;5;NA;FALSE;4: (41.4%) | 5: (35.7%) | 3: (14.7%) | 2: ( 4.1%) | 1: ( 4.0%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.1  | stdev = 0.888;
AlgemeenOordeel_19;AlgemeenOordeel_19;TRUE;numeric;8,073196986;1;5;NA;FALSE;5: (32%) | 4: (27%) | 3: (21%) | 2: (10%) | 1: (11%);Q1 = 3  | median = 4  | Q3 =  5  | mean = 3.82  | stdev = 1.11;
Inhoud;Inhoud;TRUE;numeric;6,243272336;2;5;NA;FALSE;4: (12.2%) | 3.875: ( 9.3%) | 3.75: ( 8.0%) | 4.125: ( 7.9%) | 3.5: ( 5.9%) | 4.25: ( 5.7%) | 3.625: ( 5.5%) | 4.375: ( 5.2%) | 4.5: ( 4.5%) | Other: (36.0%);Q1 = 3.625  | median = 4  | Q3 =  4.25  | mean = 3.92  | stdev = 0.573;
Inhoud_01;Inhoud_01;TRUE;numeric;6,243272336;1;5;NA;FALSE;4: (53.2%) | 5: (23.1%) | 3: (14.1%) | 2: ( 2.7%) | 1: ( 6.9%);Q1 = 4  | median = 4  | Q3 =  4  | mean = 4.02  | stdev = 0.758;
Inhoud_02;Inhoud_02;TRUE;numeric;6,350914962;1;5;NA;FALSE;4: (48.5%) | 5: (21.5%) | 3: (17.4%) | 2: ( 4.7%) | 1: ( 7.8%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.9  | stdev = 0.862;
Inhoud_03;Inhoud_03;TRUE;numeric;8,826695371;1;5;NA;FALSE;4: (44.2%) | 5: (21.4%) | 3: (20.0%) | 2: ( 4.5%) | 1: ( 9.8%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.88  | stdev = 0.858;
Inhoud_04;Inhoud_04;TRUE;numeric;6,350914962;1;5;NA;FALSE;4: (46.8%) | 5: (23.3%) | 3: (18.6%) | 2: ( 4.2%) | 1: ( 7.1%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.94  | stdev = 0.834;
Inhoud_05;Inhoud_05;TRUE;numeric;7,427341227;1;5;NA;FALSE;4: (44.2%) | 5: (24.5%) | 3: (18.2%) | 2: ( 4.8%) | 1: ( 8.2%);Q1 = 3  | median = 4  | Q3 =  5  | mean = 3.94  | stdev = 0.861;
Inhoud_06;Inhoud_06;TRUE;numeric;6,566200215;1;5;NA;FALSE;4: (44.9%) | 3: (21.4%) | 5: (20.7%) | 2: ( 5.4%) | 1: ( 7.6%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.84  | stdev = 0.872;
Inhoud_07;Inhoud_07;TRUE;numeric;6,889128095;1;5;NA;FALSE;4: (50.4%) | 3: (19.6%) | 5: (19.1%) | 2: ( 3.2%) | 1: ( 7.8%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.9  | stdev = 0.792;
Inhoud_09;Inhoud_09;TRUE;numeric;6,458557589;1;5;NA;FALSE;4: (53.5%) | 5: (18.4%) | 3: (18.1%) | 2: ( 3.1%) | 1: ( 6.9%);Q1 = 4  | median = 4  | Q3 =  4  | mean = 3.92  | stdev = 0.748;
Inhoud_10;Inhoud_10;TRUE;numeric;99,24650161;3;5;NA;FALSE;4: ( 0.32%) | 3: ( 0.22%) | 5: (99.46%);Q1 = 3.5  | median = 4  | Q3 =  4.5  | mean = 4  | stdev = 0.816;
Inhoud_11;Inhoud_11;TRUE;numeric;99,13885899;1;5;NA;FALSE;5: ( 0.43%) | 4: ( 0.22%) | 1: ( 0.11%) | 3: (99.25%);Q1 = 3.75  | median = 4.5  | Q3 =  5  | mean = 4  | stdev = 1.41;
AlgemeneVaardigheden;AlgemeneVaardigheden;TRUE;numeric;6,781485468;2;5;NA;FALSE;4: (17.2%) | 4.16666666666667: ( 9.1%) | 5: ( 8.6%) | 3.83333333333333: ( 7.9%) | 3.66666666666667: ( 7.2%) | 4.33333333333333: ( 6.7%) | 4.66666666666667: ( 6.5%) | 3.5: ( 5.7%) | 4.5: ( 4.6%) | Other: (26.5%);Q1 = 3.66666666666667  | median = 4  | Q3 =  4.5  | mean = 4.01  | stdev = 0.623;
AlgemeneVaardigheden_01;AlgemeneVaardigheden_01;TRUE;numeric;6,781485468;1;5;NA;FALSE;4: (42.7%) | 5: (34.1%) | 3: (12.4%) | 2: ( 2.7%) | 1: ( 8.1%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.13  | stdev = 0.85;
AlgemeneVaardigheden_03;AlgemeneVaardigheden_03;TRUE;numeric;6,889128095;1;5;NA;FALSE;4: (47.1%) | 5: (29.6%) | 3: (13.3%) | 2: ( 2.8%) | 1: ( 7.1%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.11  | stdev = 0.769;
AlgemeneVaardigheden_04;AlgemeneVaardigheden_04;TRUE;numeric;6,996770721;1;5;NA;FALSE;4: (45.7%) | 5: (24.2%) | 3: (18.9%) | 2: ( 3.9%) | 1: ( 7.2%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 3.97  | stdev = 0.807;
AlgemeneVaardigheden_05;AlgemeneVaardigheden_05;TRUE;numeric;6,781485468;1;5;NA;FALSE;4: (40.6%) | 5: (30.6%) | 3: (17.0%) | 2: ( 4.8%) | 1: ( 7.0%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.03  | stdev = 0.859;
AlgemeneVaardigheden_06;AlgemeneVaardigheden_06;TRUE;numeric;6,889128095;1;5;NA;FALSE;4: (43.8%) | 5: (28.3%) | 3: (16.3%) | 2: ( 4.2%) | 1: ( 7.4%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.02  | stdev = 0.843;
AlgemeneVaardigheden_07;AlgemeneVaardigheden_07;TRUE;numeric;7,857911733;1;5;NA;FALSE;4: (41.6%) | 3: (22.4%) | 5: (20.5%) | 2: ( 7.0%) | 1: ( 8.6%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.8  | stdev = 0.897;
WetenschappelijkeVaardighedenWo;WetenschappelijkeVaardighedenWo;TRUE;numeric;11,08719053;1;5;NA;FALSE;4: (17.2%) | 3.8: ( 9.1%) | 4.2: ( 8.2%) | 5: ( 8.0%) | 3.6: ( 7.5%) | 4.4: ( 6.5%) | 3.2: ( 5.6%) | 3.4: ( 5.0%) | 4.6: ( 4.4%) | Other: (28.5%);Q1 = 3.4  | median = 4  | Q3 =  4.4  | mean = 3.87  | stdev = 0.727;
WetenschappelijkeVaardighedenWo_01;WetenschappelijkeVaardighedenWo_01;TRUE;numeric;7,857911733;1;5;NA;FALSE;4: (44.9%) | 5: (33.0%) | 3: (10.8%) | 2: ( 2.8%) | 1: ( 8.5%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.16  | stdev = 0.797;
WetenschappelijkeVaardighedenWo_02;WetenschappelijkeVaardighedenWo_02;TRUE;numeric;9,364908504;1;5;NA;FALSE;4: (43%) | 5: (27%) | 3: (16%) | 2: ( 4%) | 1: (10%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4  | stdev = 0.852;
WetenschappelijkeVaardighedenWo_04;WetenschappelijkeVaardighedenWo_04;TRUE;numeric;10,87190527;1;5;NA;FALSE;4: (38.3%) | 5: (21.9%) | 3: (18.5%) | 2: ( 8.7%) | 1: (12.6%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.78  | stdev = 0.986;
WetenschappelijkeVaardighedenWo_05;WetenschappelijkeVaardighedenWo_05;TRUE;numeric;10,01076426;1;5;NA;FALSE;4: (41.9%) | 3: (21.3%) | 5: (17.8%) | 2: ( 7.5%) | 1: (11.5%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.74  | stdev = 0.925;
WetenschappelijkeVaardighedenWo_07;WetenschappelijkeVaardighedenWo_07;TRUE;numeric;10,65662002;1;5;NA;FALSE;4: (36.1%) | 3: (23.9%) | 5: (18.0%) | 2: ( 9.1%) | 1: (12.9%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.65  | stdev = 0.993;
WetenschappelijkeVaardighedenHbo;WetenschappelijkeVaardighedenHbo;TRUE;numeric;100;NA;NA;^([0-3])?[0-9]\-([0-1])?[0-9]\-[1-2][0-9]{3}$;FALSE;: (%);Q1 = NA  | median = NA  | Q3 =  NA  | mean = NaN  | stdev = NA;
WetenschappelijkeVaardighedenHbo_01;WetenschappelijkeVaardighedenHbo_01;TRUE;numeric;100;NA;NA;^([0-3])?[0-9]\-([0-1])?[0-9]\-[1-2][0-9]{3}$;FALSE;: (%);Q1 = NA  | median = NA  | Q3 =  NA  | mean = NaN  | stdev = NA;
WetenschappelijkeVaardighedenHbo_02;WetenschappelijkeVaardighedenHbo_02;TRUE;numeric;100;NA;NA;^([0-3])?[0-9]\-([0-1])?[0-9]\-[1-2][0-9]{3}$;FALSE;: (%);Q1 = NA  | median = NA  | Q3 =  NA  | mean = NaN  | stdev = NA;
WetenschappelijkeVaardighedenHbo_04;WetenschappelijkeVaardighedenHbo_04;TRUE;numeric;100;NA;NA;^([0-3])?[0-9]\-([0-1])?[0-9]\-[1-2][0-9]{3}$;FALSE;: (%);Q1 = NA  | median = NA  | Q3 =  NA  | mean = NaN  | stdev = NA;
WetenschappelijkeVaardighedenHbo_05;WetenschappelijkeVaardighedenHbo_05;TRUE;numeric;100;NA;NA;^([0-3])?[0-9]\-([0-1])?[0-9]\-[1-2][0-9]{3}$;FALSE;: (%);Q1 = NA  | median = NA  | Q3 =  NA  | mean = NaN  | stdev = NA;
WetenschappelijkeVaardighedenHbo_06;WetenschappelijkeVaardighedenHbo_06;TRUE;numeric;100;NA;NA;^([0-3])?[0-9]\-([0-1])?[0-9]\-[1-2][0-9]{3}$;FALSE;: (%);Q1 = NA  | median = NA  | Q3 =  NA  | mean = NaN  | stdev = NA;
VoorbereidingBeroepsloopbaan;VoorbereidingBeroepsloopbaan;TRUE;numeric;11,94833154;1;5;NA;FALSE;3: (15.8%) | 3.33333333333333: (11.2%) | 4: (10.9%) | 3.66666666666667: ( 9.4%) | 2.66666666666667: ( 8.2%) | 2.33333333333333: ( 7.1%) | 2: ( 6.0%) | 4.33333333333333: ( 5.0%) | 5: ( 4.7%) | Other: (21.7%);Q1 = 2.66666666666667  | median = 3.33333333333333  | Q3 =  4  | mean = 3.29  | stdev = 0.903;
VoorbereidingBeroepsloopbaan_01;VoorbereidingBeroepsloopbaan_01;TRUE;numeric;11,84068891;1;5;NA;FALSE;3: (30%) | 4: (28%) | 2: (15%) | 5: (12%) | 1: (15%);Q1 = 3  | median = 3  | Q3 =  4  | mean = 3.36  | stdev = 1.02;
VoorbereidingBeroepsloopbaan_02;VoorbereidingBeroepsloopbaan_02;TRUE;numeric;11,73304629;1;5;NA;FALSE;3: (30%) | 4: (23%) | 2: (18%) | 5: (14%) | 1: (15%);Q1 = 3  | median = 3  | Q3 =  4  | mean = 3.3  | stdev = 1.08;
VoorbereidingBeroepsloopbaan_04;VoorbereidingBeroepsloopbaan_04;TRUE;numeric;15,17761033;1;5;NA;FALSE;3: (30.4%) | 4: (22.4%) | 2: (18.2%) | 5: ( 9.5%) | 1: (19.6%);Q1 = 2  | median = 3  | Q3 =  4  | mean = 3.17  | stdev = 1.05;
AansluitingBeroepspraktijk;AansluitingBeroepspraktijk;TRUE;numeric;99,24650161;1;5;NA;FALSE;1: ( 0.11%) | 2.33333333333333: ( 0.11%) | 3.66666666666667: ( 0.11%) | 4: ( 0.11%) | 4.5: ( 0.11%) | 4.66666666666667: ( 0.11%) | 5: (99.35%);Q1 = 3  | median = 4  | Q3 =  4.58333333333333  | mean = 3.6  | stdev = 1.44;
AansluitingBeroepspraktijk_01;AansluitingBeroepspraktijk_01;TRUE;numeric;99,24650161;1;5;NA;FALSE;5: ( 0.32%) | 4: ( 0.22%) | 1: ( 0.11%) | 2: (99.35%);Q1 = 3  | median = 4  | Q3 =  5  | mean = 3.71  | stdev = 1.6;
AansluitingBeroepspraktijk_02;AansluitingBeroepspraktijk_02;TRUE;numeric;99,24650161;1;5;NA;FALSE;4: ( 0.32%) | 5: ( 0.22%) | 1: ( 0.11%) | 3: (99.35%);Q1 = 3.5  | median = 4  | Q3 =  4.5  | mean = 3.71  | stdev = 1.38;
AansluitingBeroepspraktijk_03;AansluitingBeroepspraktijk_03;TRUE;numeric;99,35414424;1;5;NA;FALSE;4: ( 0.22%) | 1: ( 0.11%) | 2: ( 0.11%) | 3: ( 0.11%) | 5: (99.46%);Q1 = 2.25  | median = 3.5  | Q3 =  4  | mean = 3.17  | stdev = 1.47;
Docenten;Docenten;TRUE;numeric;10,87190527;2;5;NA;FALSE;4: ( 8.4%) | 3.88888888888889: ( 5.5%) | 3.77777777777778: ( 4.5%) | 3.66666666666667: ( 4.3%) | 3.55555555555556: ( 3.8%) | 5: ( 3.8%) | 4.11111111111111: ( 3.6%) | 4.33333333333333: ( 3.4%) | 4.44444444444444: ( 3.3%) | Other: (59.4%);Q1 = 3.44444444444444  | median = 3.88888888888889  | Q3 =  4.33333333333333  | mean = 3.83  | stdev = 0.715;
Docenten_01;Docenten_01;TRUE;numeric;10,87190527;1;5;NA;FALSE;4: (42%) | 5: (31%) | 3: (12%) | 2: ( 3%) | 1: (12%);Q1 = 4  | median = 4  | Q3 =  5  | mean = 4.12  | stdev = 0.828;
Docenten_02;Docenten_02;TRUE;numeric;10,9795479;1;5;NA;FALSE;4: (41.9%) | 3: (26.2%) | 5: (12.9%) | 2: ( 6.7%) | 1: (12.4%);Q1 = 3  | median = 4  | Q3 =  4  | mean = 3.65  | stdev = 0.873;
