preferred_field_name;min;max;q1;median;q3;mean;sd
MVR_PSH_Prestatiegericht_2;1;5;4,00;4,00;5,00;4,3200;0,668
MVR_PSH_Prestatiegericht_3;1;5;4,00;4,00;5,00;4,1500;0,803
MVR_PSH_Prestatiegericht_4;1;5;4,00;4,00;5,00;4,0600;0,882
MVR_PSH_Prestatiegericht_gemiddelde;1;5;3,75;4,00;4,50;4,1600;0,571
MVR_PSH_Statusgericht_1;1;5;4,00;4,00;5,00;4,1600;0,675
MVR_PSH_Statusgericht_2;1;5;4,00;4,00;5,00;4,3000;0,641
MVR_PSH_Statusgericht_3;1;5;4,00;4,00;5,00;4,1500;0,775
MVR_PSH_Statusgericht_4;1;5;4,00;4,00;5,00;4,0500;0,870
MVR_PSH_Statusgericht_gemiddelde;1;5;3,75;4,00;4,75;4,1600;0,574
MVR_PSH_Gemeenschapsgericht_1;1;5;2,00;3,00;4,00;2,9200;1,110
MVR_PSH_Gemeenschapsgericht_2;1;5;2,00;3,00;4,00;3,0600;1,010
MVR_PSH_Gemeenschapsgericht_3;1;5;2,00;2,00;3,00;2,2700;0,948
MVR_PSH_Gemeenschapsgericht_4;1;5;2,00;3,00;3,00;2,5900;0,997
MVR_PSH_Gemeenschapsgericht_gemiddelde;1;5;2,25;2,75;3,25;2,7100;0,770
MVR_PSH_Autonomie_1;1;5;4,00;4,00;5,00;4,2900;0,636
MVR_PSH_Autonomie_2;1;5;4,00;4,00;5,00;4,1400;0,741
MVR_PSH_Autonomie_3;1;5;4,00;4,00;5,00;4,1200;0,730
MVR_PSH_Autonomie_4;1;5;4,00;4,00;5,00;3,9700;0,877
MVR_PSH_Autonomie_gemiddelde;1;5;3,75;4,00;4,50;4,1300;0,577
MVR_PSH_Toewijding_DID01;1;5;4,00;4,00;5,00;4,1200;0,858
MVR_PSH_Toewijding_DID06;1;5;3,00;4,00;5,00;3,8500;0,964
MVR_PSH_Toewijding_DID11;1;5;3,00;4,00;4,00;3,8300;0,921
MVR_PSH_Toewijding_DID16;1;5;3,00;4,00;4,00;3,8300;0,908
MVR_PSH_Toewijding_DID21;1;5;3,00;4,00;4,00;3,6400;0,974
MVR_PSH_Toewijding_gemiddelde;1;5;3,40;4,00;4,40;3,8500;0,774
MVR_PSH_Exploratief_actief_DID02;1;5;4,00;4,00;5,00;4,1900;0,745
MVR_PSH_Exploratief_actief_DID07;1;5;4,00;4,00;5,00;4,1700;0,668
MVR_PSH_Exploratief_actief_DID12;1;5;3,00;4,00;4,00;3,6800;0,892
MVR_PSH_Exploratief_actief_DID17;1;5;4,00;4,00;4,00;4,0600;0,663
MVR_PSH_Exploratief_actief_DID22;1;5;4,00;4,00;4,00;3,8600;0,776
MVR_PSH_Exploratief_actief_gemiddelde;Inf;-Inf;NA;NA;NA;NA;NA
MVR_PSH_Exploratief_overdenken_DID03;1;5;2,00;3,00;4,00;2,8700;1,090
MVR_PSH_Exploratief_overdenken_DID08;1;5;3,00;4,00;4,00;3,4900;1,140
MVR_PSH_Exploratief_overdenken_DID13;1;5;3,00;4,00;4,00;3,4700;1,000
MVR_PSH_Exploratief_overdenken_DID18;1;5;2,00;3,00;4,00;3,0300;1,100
MVR_PSH_Exploratief_overdenken_DID23;1;5;2,00;3,00;4,00;3,0900;1,030
MVR_PSH_Exploratief_overdenken_gemiddelde;1;5;2,60;3,20;3,80;3,1900;0,758
MVR_PSH_Identiteit_DID04;1;5;4,00;4,00;5,00;4,1300;0,712
MVR_PSH_Identiteit_DID09;1;5;3,00;4,00;4,00;3,7800;0,919
MVR_PSH_Identiteit_DID14;1;5;3,00;4,00;4,00;3,8100;0,852
MVR_PSH_Identiteit_DID19;1;5;4,00;4,00;5,00;4,0600;0,711
MVR_PSH_Identiteit_DID24;1;5;3,00;4,00;4,00;3,6900;0,894
MVR_PSH_Identiteit_gemiddelde;Inf;-Inf;NA;NA;NA;NA;NA
MVR_PSH_Exploratief_verdiepend_DID05;1;5;3,00;4,00;4,00;3,8500;0,880
MVR_PSH_Exploratief_verdiepend_DID10;1;5;3,00;4,00;4,00;3,7100;1,000
MVR_PSH_Exploratief_verdiepend_DID15;1;5;3,00;4,00;4,00;3,8200;0,825
MVR_PSH_Exploratief_verdiepend_DID20;1;5;2,00;2,00;3,00;2,5800;1,060
MVR_PSH_Exploratief_verdiepend_DID25;1;5;3,00;4,00;4,00;3,6500;0,956
MVR_PSH_Exploratief_verdiepend_gemiddelde;1;5;3,00;3,50;4,00;3,4900;0,589
MVR_PSH_INT_Realistisch_01;1;5;2,00;3,00;4,00;2,8100;1,250
MVR_PSH_VAA_Realistisch_01;1;5;3,00;4,00;5,00;3,7900;1,050
MVR_PSH_INT_Realistisch_07;1;5;2,00;3,00;4,00;2,8900;1,210
MVR_PSH_VAA_Realistisch_07;1;5;3,00;4,00;4,00;3,3300;1,100
MVR_PSH_INT_Realistisch_13;1;5;2,00;3,00;4,00;3,3000;1,180
MVR_PSH_VAA_Realistisch_13;1;5;3,00;4,00;4,00;3,3700;1,140
MVR_PSH_INT_Realistisch_19;1;5;1,00;2,00;3,00;2,3800;1,110
MVR_PSH_VAA_Realistisch_19;1;5;2,00;3,00;4,00;2,9000;1,210
MVR_PSH_INT_Realistisch_25;1;5;2,00;3,00;4,00;2,8200;1,200
MVR_PSH_VAA_Realistisch_25;1;5;2,00;2,00;4,00;2,6600;1,200
MVR_PSH_INT_Realistisch_31;1;5;2,00;3,00;4,00;2,9800;1,200
MVR_PSH_VAA_Realistisch_31;1;5;2,00;3,00;4,00;2,9300;1,120
MVR_PSH_Realistisch_gemiddelde;1;5;2,50;3,10;3,60;3,0200;0,824
MVR_PSH_INT_Onderzoekend_02;1;5;2,00;3,00;4,00;3,1800;1,200
MVR_PSH_VAA_Onderzoekend_02;1;5;3,00;4,00;4,00;3,6600;0,991
MVR_PSH_INT_Onderzoekend_08;1;5;3,00;4,00;4,00;3,6800;1,030
MVR_PSH_VAA_Onderzoekend_08;1;5;3,00;4,00;5,00;3,9200;0,871
MVR_PSH_INT_Onderzoekend_14;1;5;3,00;4,00;4,00;3,6600;1,110
MVR_PSH_VAA_Onderzoekend_14;1;5;3,00;4,00;4,00;3,8800;0,908
MVR_PSH_INT_Onderzoekend_20;1;5;3,00;4,00;5,00;3,8900;0,962
MVR_PSH_VAA_Onderzoekend_20;1;5;4,00;4,00;5,00;4,0400;0,780
MVR_PSH_INT_Onderzoekend_26;1;5;3,00;4,00;4,00;3,5500;1,100
MVR_PSH_VAA_Onderzoekend_26;1;5;3,00;3,00;4,00;3,2100;1,050
MVR_PSH_INT_Onderzoekend_32;1;5;2,00;3,00;4,00;2,8900;1,180
MVR_PSH_VAA_Onderzoekend_32;1;5;2,00;3,00;4,00;2,9600;1,120
MVR_PSH_INT_Onderzoekend_37;1;5;2,00;3,00;4,00;3,1700;1,160
MVR_PSH_VAA_Onderzoekend_37;1;5;2,00;3,00;4,00;2,9800;1,020
MVR_PSH_INT_Onderzoekend_38;1;5;2,00;3,00;4,00;2,7300;1,150
MVR_PSH_VAA_Onderzoekend_38;1;5;2,00;3,00;4,00;2,8900;1,080
MVR_PSH_Onderzoekend_gemiddelde;1;5;3,30;3,70;4,10;3,6700;0,626
MVR_PSH_INT_Artistisch_03;1;5;2,00;2,00;4,00;2,6400;1,310
MVR_PSH_VAA_Artistisch_03;1;5;2,00;2,00;3,00;2,5300;1,240
MVR_PSH_INT_Artistisch_09;1;5;2,00;3,00;4,00;3,2800;1,140
MVR_PSH_VAA_Artistisch_09;1;5;3,00;4,00;4,00;3,5700;1,020
MVR_PSH_INT_Artistisch_15;1;5;2,00;3,00;4,00;2,9700;1,180
MVR_PSH_VAA_Artistisch_15;1;5;2,00;3,00;4,00;2,9600;1,160
MVR_PSH_INT_Artistisch_21;1;5;2,00;3,00;4,00;2,9000;1,300
MVR_PSH_VAA_Artistisch_21;1;5;2,00;3,00;4,00;2,8200;1,230
MVR_PSH_INT_Artistisch_27;1;5;2,00;3,00;4,00;3,0400;1,230
MVR_PSH_VAA_Artistisch_27;1;5;2,00;3,00;4,00;2,9400;1,100
MVR_PSH_INT_Artistisch_33;1;5;2,00;3,00;4,00;2,7100;1,260
MVR_PSH_VAA_Artistisch_33;1;5;2,00;3,00;4,00;2,7300;1,150
MVR_PSH_Artistisch_gemiddelde;1;5;2,40;3,00;3,60;2,9700;0,827
MVR_PSH_INT_Sociaal_04;1;5;3,00;4,00;4,00;3,8500;0,903
MVR_PSH_VAA_Sociaal_04;1;5;4,00;4,00;5,00;4,1300;0,747
MVR_PSH_INT_Sociaal_10;1;5;3,00;4,00;5,00;3,7700;0,993
MVR_PSH_VAA_Sociaal_10;1;5;4,00;4,00;5,00;4,0600;0,835
MVR_PSH_INT_Sociaal_16;1;5;2,00;3,00;4,00;3,3100;1,150
MVR_PSH_VAA_Sociaal_16;1;5;3,00;4,00;4,00;3,6600;1,000
MVR_PSH_INT_Sociaal_22;1;5;3,00;3,00;4,00;3,3400;1,040
MVR_PSH_VAA_Sociaal_22;1;5;3,00;4,00;4,00;3,6500;0,899
MVR_PSH_INT_Sociaal_28;1;5;3,00;4,00;4,00;3,4500;1,110
MVR_PSH_VAA_Sociaal_28;1;5;3,00;3,00;4,00;3,3400;1,020
MVR_PSH_INT_Sociaal_34;1;5;4,00;4,00;5,00;3,9900;0,844
MVR_PSH_VAA_Sociaal_34;1;5;4,00;4,00;5,00;4,0900;0,739
MVR_PSH_Sociaal_gemiddelde;1;5;3,20;3,70;4,10;3,6600;0,652
MVR_PSH_INT_Ondernemend_05;1;5;4,00;4,00;5,00;3,9500;0,871
MVR_PSH_VAA_Ondernemend_05;1;5;4,00;4,00;5,00;4,2100;0,760
MVR_PSH_INT_Ondernemend_11;1;5;3,00;3,00;4,00;3,3200;1,060
MVR_PSH_VAA_Ondernemend_11;1;5;3,00;4,00;4,00;3,4400;0,968
MVR_PSH_INT_Ondernemend_17;1;5;3,00;4,00;4,00;3,6000;1,090
MVR_PSH_VAA_Ondernemend_17;1;5;3,00;4,00;4,00;3,6100;0,947
MVR_PSH_INT_Ondernemend_23;1;5;3,00;4,00;5,00;3,9000;0,970
MVR_PSH_VAA_Ondernemend_23;1;5;3,00;4,00;5,00;3,9600;0,903
MVR_PSH_INT_Ondernemend_29;1;5;4,00;4,00;5,00;3,9700;0,853
MVR_PSH_VAA_Ondernemend_29;1;5;4,00;4,00;5,00;4,1300;0,771
MVR_PSH_INT_Ondernemend_35;1;5;3,00;4,00;4,00;3,6500;1,070
MVR_PSH_VAA_Ondernemend_35;1;5;4,00;4,00;5,00;3,9800;0,882
MVR_PSH_INT_Ondernemend_gemiddelde;1;5;3,40;3,90;4,30;3,8100;0,643
MVR_PSH_INT_Conventioneel_06;1;5;3,00;4,00;5,00;3,8200;0,975
MVR_PSH_VAA_Conventioneel_06;1;5;4,00;4,00;5,00;4,1300;0,859
MVR_PSH_INT_Conventioneel_12;1;5;2,00;3,00;4,00;3,0200;1,280
MVR_PSH_VAA_Conventioneel_12;1;5;3,00;4,00;5,00;3,7200;1,080
MVR_PSH_INT_Conventioneel_18;1;5;3,00;4,00;5,00;3,8200;0,961
MVR_PSH_VAA_Conventioneel_18;1;5;4,00;4,00;5,00;4,0100;0,892
MVR_PSH_INT_Conventioneel_24;1;5;2,00;3,00;4,00;2,9700;1,100
MVR_PSH_VAA_Conventioneel_24;1;5;3,00;4,00;4,00;3,7100;0,938
MVR_PSH_INT_Conventioneel_30;1;5;3,00;4,00;5,00;3,8300;0,989
MVR_PSH_VAA_Conventioneel_30;1;5;4,00;4,00;5,00;4,1100;0,852
MVR_PSH_INT_Conventioneel_36;1;5;3,00;3,00;4,00;3,3400;1,160
MVR_PSH_VAA_Conventioneel_36;1;5;4,00;4,00;5,00;4,0100;0,887
MVR_PSH_INT_gemiddelde;1;5;3,30;3,70;4,20;3,7200;0,655
MVR_PSH_Extern_SRQA01;1;5;2,00;3,00;4,00;2,7800;1,100
MVR_PSH_Extern_SRQA05;1;5;1,00;2,00;2,00;1,7600;0,907
MVR_PSH_Extern_SRQA09;1;5;1,00;2,00;2,00;1,7900;0,914
MVR_PSH_Extern_SRQA13;1;5;1,00;2,00;3,00;2,3000;1,100
MVR_PSH_Extern_gemiddelde;1;5;1,50;2,00;2,75;2,1600;0,818
MVR_PSH_Introjectie_SRQA02;1;5;2,00;2,00;3,00;2,4100;1,040
MVR_PSH_Introjectie_SRQA06;1;5;2,00;3,00;4,00;2,8600;1,200
MVR_PSH_Introjectie_SRQA10;1;5;1,00;2,00;3,00;2,4300;1,160
MVR_PSH_Introjectie_SRQA14;1;5;2,00;2,00;3,00;2,3500;1,070
MVR_PSH_Introjectie_gemiddelde;1;5;2,00;2,50;3,25;2,5100;0,871
MVR_PSH_Geidentificeerd_SRQA03;1;5;4,00;5,00;5,00;4,5300;0,561
MVR_PSH_Geidentificeerd_SRQA07;1;5;4,00;4,00;5,00;4,3600;0,674
MVR_PSH_Geidentificeerd_SRQA11;1;5;4,00;4,00;5,00;4,3800;0,651
MVR_PSH_Geidentificeerd_SRQA15;1;5;4,00;4,00;5,00;4,2100;0,811
MVR_PSH_Geidentificeerd_gemiddelde;1.5;5;4,00;4,50;4,75;4,3700;0,516
MVR_PSH_Intrinsiek_SRQA04;1;5;4,00;5,00;5,00;4,4300;0,686
MVR_PSH_Intrinsiek_SRQA08;1;5;3,00;4,00;4,00;3,9400;0,828
MVR_PSH_Intrinsiek_SRQA12;1;5;4,00;4,00;5,00;4,2300;0,723
MVR_PSH_Intrinsiek_SRQA16;1;5;4,00;4,00;5,00;4,0000;0,844
MVR_PSH_Intrinsiek_gemiddelde;1;5;3,75;4,25;4,75;4,1500;0,637
MVR_BFI_Extraversie_BFI01;1;5;4,00;4,00;5,00;4,0700;0,827
MVR_BFI_Extraversie_BFI06;1;5;4,00;4,00;5,00;3,9600;0,844
MVR_BFI_Extraversie_BFI11R;1;5;2,00;3,00;4,00;3,2800;1,110
MVR_BFI_Extraversie_BFI16R;1;5;2,00;3,00;4,00;3,2400;1,040
MVR_BFI_Extraversie_BFI21;1;5;3,00;4,00;4,00;3,5300;0,929
MVR_BFI_Extraversie_BFI26R;1;5;4,00;4,00;4,00;3,9700;0,827
MVR_BFI_Extraversie_BFI31R;1;5;2,00;3,00;4,00;2,8700;1,120
MVR_BFI_Extraversie_BFI36;1;5;2,00;2,00;3,00;2,2500;0,768
MVR_BFI_Extraversie_BFI41;1;5;3,00;4,00;4,00;3,8300;0,793
MVR_BFI_Extraversie_BFI46;1;5;3,00;4,00;4,00;3,8500;0,838
MVR_BFI_Extraversie_BFI51R;1;5;3,00;4,00;4,00;3,6000;0,895
MVR_BFI_Extraversie_BFI56;1;5;3,00;4,00;4,00;3,8900;0,794
MVR_BFI_Extraversie_gemiddelde;1.6;4.9;3,20;3,50;3,80;3,4800;0,484
MVR_Vriendelijkheid_BFI02;1;5;4,00;4,00;5,00;4,2300;0,711
MVR_Vriendelijkheid_BFI07;1;5;4,00;5,00;5,00;4,6100;0,538
MVR_Vriendelijkheid_BFI12R;1;5;3,00;4,00;4,00;3,8000;0,840
MVR_Vriendelijkheid_BFI17R;1;5;4,00;4,00;5,00;4,0200;1,040
MVR_Vriendelijkheid_BFI22R;1;5;4,00;4,00;5,00;4,0300;0,918
MVR_Vriendelijkheid_BFI27;1;5;4,00;4,00;4,00;3,8900;0,781
MVR_Vriendelijkheid_BFI32;1;5;4,00;4,00;4,00;4,0400;0,705
MVR_Vriendelijkheid_BFI37R;1;5;3,00;4,00;5,00;3,9400;0,881
MVR_Vriendelijkheid_BFI42R;1;5;3,00;3,00;4,00;3,3000;0,978
MVR_Vriendelijkheid_BFI47R;1;5;3,00;4,00;4,00;3,7700;0,957
MVR_Vriendelijkheid_BFI52;1;5;4,00;4,00;5,00;4,2800;0,600
MVR_Vriendelijkheid_BFI57;1;5;3,00;4,00;4,00;3,7300;0,840
MVR_Vriendelijkheid_gemiddelde;1.6;5;3,70;4,00;4,30;3,9600;0,475
MVR_Conscientieusheid_BFI03R;1;5;3,00;4,00;4,00;3,4800;1,030
MVR_Conscientieusheid_BFI08R;1;5;3,00;4,00;4,00;3,4400;0,973
MVR_Conscientieusheid_BFI13;1;5;4,00;4,00;5,00;4,0500;0,775
MVR_Conscientieusheid_BFI18;1;5;3,00;4,00;4,00;3,7800;0,898
MVR_Conscientieusheid_BFI23R;1;5;3,00;4,00;4,00;3,4400;0,994
MVR_Conscientieusheid_BFI28R;1;5;2,00;3,00;4,00;3,0900;0,999
MVR_Conscientieusheid_BFI33;1;5;3,00;4,00;4,00;3,8200;0,872
MVR_Conscientieusheid_BFI38;1;5;4,00;4,00;4,00;4,0400;0,646
MVR_Conscientieusheid_BFI43;1;5;4,00;4,00;5,00;4,1800;0,643
MVR_Conscientieusheid_BFI48R;1;5;4,00;4,00;5,00;4,1000;0,850
MVR_Conscientieusheid_BFI53;1;5;4,00;4,00;5,00;4,1500;0,693
MVR_Conscientieusheid_BFI58R;1;5;3,00;4,00;4,00;3,6900;0,927
MVR_Conscientieusheid_gemiddelde;1.3;5;3,40;3,80;4,10;3,7400;0,560
MVR_Negatief_emotioneel_BFI04R;1;5;2,00;2,00;3,00;2,3400;0,962
MVR_Negatief_emotioneel_BFI09R;1;5;2,00;2,00;3,00;2,1000;0,820
MVR_Negatief_emotioneel_BFI14;1;5;2,00;2,00;3,00;2,4500;0,960
MVR_Negatief_emotioneel_BFI19;1;5;2,00;3,00;4,00;3,1900;0,955
MVR_Negatief_emotioneel_BFI24R;1;5;1,00;2,00;2,00;1,9600;0,771
MVR_Negatief_emotioneel_BFI29R;1;5;2,00;2,00;3,00;2,1700;0,899
MVR_Negatief_emotioneel_BFI34;1;5;2,00;3,00;4,00;2,9500;1,030
MVR_Negatief_emotioneel_BFI39;1;5;2,00;2,00;3,00;2,3000;0,916
MVR_Negatief_emotioneel_BFI44R;1;5;2,00;2,00;2,00;2,0200;0,755
MVR_Negatief_emotioneel_BFI49R;1;5;2,00;3,00;4,00;2,8700;1,030
MVR_Negatief_emotioneel_BFI54;1;5;2,00;2,00;3,00;2,2500;0,911
MVR_Negatief_emotioneel_BFI59;1;5;2,00;2,00;3,00;2,2100;0,914
MVR_Negatief_emotioneel_gemiddelde;1;5;2,00;2,40;2,80;2,4400;0,582
MVR_Openheid_voor_ervaring_BFI05R;1;5;2,00;3,00;4,00;2,9200;1,250
MVR_Openheid_voor_ervaring_BFI10;1;5;4,00;5,00;5,00;4,4300;0,649
MVR_Openheid_voor_ervaring_BFI15;1;5;4,00;4,00;5,00;3,9900;0,809
MVR_Openheid_voor_ervaring_BFI20;1;5;2,00;4,00;4,00;3,3700;1,260
MVR_Openheid_voor_ervaring_BFI25R;1;5;3,00;4,00;5,00;3,9200;0,958
MVR_Openheid_voor_ervaring_BFI30R;1;5;3,00;4,00;5,00;3,8600;0,984
MVR_Openheid_voor_ervaring_BFI35;1;5;3,00;4,00;4,00;3,4500;1,160
MVR_Openheid_voor_ervaring_BFI40;1;5;4,00;4,00;5,00;4,0000;0,833
MVR_Openheid_voor_ervaring_BFI45R;1;5;4,00;4,00;5,00;4,0100;0,818
MVR_Openheid_voor_ervaring_BFI50R;1;5;2,00;3,00;4,00;3,3100;1,170
MVR_Openheid_voor_ervaring_BFI55R;1;5;3,00;4,00;4,00;3,6300;0,931
MVR_Openheid_voor_ervaring_BFI60;1;5;4,00;4,00;4,00;3,9400;0,739
MVR_Openheid_voor_ervaring_gemiddelde;1.3;5;3,30;3,70;4,20;3,7200;0,611
MVR_BSE1;1;5;3,00;4,00;4,00;3,6200;1,020
MVR_BSE2;1;5;4,00;4,00;5,00;3,9700;0,910
MVR_BSE3;1;5;2,00;3,00;4,00;3,3100;1,130
MVR_BSE4;1;5;3,00;4,00;4,00;3,7200;1,010
MVR_BSE5;1;5;2,00;3,00;4,00;3,0800;1,120
MVR_BSE_gemiddelde;1;5;3,00;3,60;4,20;3,5400;0,789
MVR_EBA1;1;5;3,00;4,00;4,00;3,4700;1,170
MVR_EBA2;1;5;3,00;4,00;4,00;3,5000;1,200
MVR_EBA3;1;5;3,00;4,00;4,00;3,6200;1,140
MVR_EBA4;1;5;3,00;4,00;4,00;3,4700;1,170
MVR_EBA5;1;5;2,00;4,00;4,00;3,4400;1,230
MVR_EBA_gemiddelde;1;5;2,80;3,60;4,20;3,5000;1,010
MVR_HUM1;1;5;2,00;3,00;4,00;3,2100;1,170
MVR_HUM2;1;5;2,00;3,00;4,00;2,7200;1,270
MVR_HUM3;1;5;2,00;3,00;4,00;2,9900;1,210
MVR_HUM4;1;5;2,00;3,00;4,00;3,0700;1,220
MVR_HUM5;1;5;2,00;3,00;4,00;2,7200;1,230
MVR_HUM_gemiddelde;1;5;2,20;3,00;3,60;2,9400;0,917
MVR_LPA1;1;5;3,00;4,00;4,00;3,7700;1,010
MVR_LPA2;1;5;3,00;4,00;4,00;3,4200;1,100
