preferred_field_name;type_of_variable;percentage_of_missing_values
MVR_PSH_Autonomie_4;numeric;3,69
MVR_PSH_Autonomie_gemiddelde;numeric;3,87
MVR_PSH_Toewijding_DID01;numeric;3,73
MVR_PSH_Toewijding_DID06;numeric;3,70
MVR_PSH_Toewijding_DID11;numeric;3,70
MVR_PSH_Toewijding_DID16;numeric;3,72
MVR_PSH_Toewijding_DID21;numeric;3,73
MVR_PSH_Toewijding_gemiddelde;numeric;3,87
MVR_PSH_Exploratief_actief_DID02;numeric;3,73
MVR_PSH_Exploratief_actief_DID07;numeric;3,70
MVR_PSH_Exploratief_actief_DID12;numeric;3,72
MVR_PSH_Exploratief_actief_DID17;numeric;3,73
MVR_PSH_Exploratief_actief_DID22;numeric;3,76
MVR_PSH_Exploratief_actief_gemiddelde;logical;100,00
MVR_PSH_Exploratief_overdenken_DID03;numeric;3,73
MVR_PSH_Exploratief_overdenken_DID08;numeric;3,70
MVR_PSH_Exploratief_overdenken_DID13;numeric;3,72
MVR_PSH_Exploratief_overdenken_DID18;numeric;3,73
MVR_PSH_Exploratief_overdenken_DID23;numeric;3,76
MVR_PSH_Exploratief_overdenken_gemiddelde;numeric;3,87
MVR_PSH_Identiteit_DID04;numeric;3,73
MVR_PSH_Identiteit_DID09;numeric;3,70
MVR_PSH_Identiteit_DID14;numeric;3,72
MVR_PSH_Identiteit_DID19;numeric;3,73
MVR_PSH_Identiteit_DID24;numeric;3,76
MVR_PSH_Identiteit_gemiddelde;logical;100,00
MVR_PSH_Exploratief_verdiepend_DID05;numeric;3,73
MVR_PSH_Exploratief_verdiepend_DID10;numeric;3,70
MVR_PSH_Exploratief_verdiepend_DID15;numeric;3,72
MVR_PSH_Exploratief_verdiepend_DID20;numeric;3,73
MVR_PSH_Exploratief_verdiepend_DID25;numeric;3,76
MVR_PSH_Exploratief_verdiepend_gemiddelde;numeric;3,87
MVR_PSH_INT_Realistisch_01;numeric;2,96
MVR_PSH_VAA_Realistisch_01;numeric;2,98
MVR_PSH_INT_Realistisch_07;numeric;3,05
MVR_PSH_VAA_Realistisch_07;numeric;3,08
MVR_PSH_INT_Realistisch_13;numeric;3,14
MVR_PSH_VAA_Realistisch_13;numeric;3,23
MVR_PSH_INT_Realistisch_19;numeric;3,26
MVR_PSH_VAA_Realistisch_19;numeric;3,30
MVR_PSH_INT_Realistisch_25;numeric;3,33
MVR_PSH_VAA_Realistisch_25;numeric;3,34
MVR_PSH_INT_Realistisch_31;numeric;3,37
MVR_PSH_VAA_Realistisch_31;numeric;3,40
MVR_PSH_Realistisch_gemiddelde;numeric;3,87
MVR_PSH_INT_Onderzoekend_02;numeric;2,96
MVR_PSH_VAA_Onderzoekend_02;numeric;2,98
MVR_PSH_INT_Onderzoekend_08;numeric;3,05
MVR_PSH_VAA_Onderzoekend_08;numeric;3,08
MVR_PSH_INT_Onderzoekend_14;numeric;3,14
MVR_PSH_VAA_Onderzoekend_14;numeric;3,23
MVR_PSH_INT_Onderzoekend_20;numeric;3,26
MVR_PSH_VAA_Onderzoekend_20;numeric;3,30
MVR_PSH_INT_Onderzoekend_26;numeric;3,33
MVR_PSH_VAA_Onderzoekend_26;numeric;3,34
MVR_PSH_INT_Onderzoekend_32;numeric;3,37
MVR_PSH_VAA_Onderzoekend_32;numeric;3,40
MVR_PSH_INT_Onderzoekend_37;numeric;3,43
MVR_PSH_VAA_Onderzoekend_37;numeric;3,48
MVR_PSH_INT_Onderzoekend_38;numeric;3,43
MVR_PSH_VAA_Onderzoekend_38;numeric;3,48
MVR_PSH_Onderzoekend_gemiddelde;numeric;3,87
MVR_PSH_INT_Artistisch_03;numeric;2,94
MVR_PSH_VAA_Artistisch_03;numeric;2,98
MVR_PSH_INT_Artistisch_09;numeric;3,05
MVR_PSH_VAA_Artistisch_09;numeric;3,08
MVR_PSH_INT_Artistisch_15;numeric;3,14
MVR_PSH_VAA_Artistisch_15;numeric;3,23
MVR_PSH_INT_Artistisch_21;numeric;3,26
MVR_PSH_VAA_Artistisch_21;numeric;3,30
MVR_PSH_INT_Artistisch_27;numeric;3,33
MVR_PSH_VAA_Artistisch_27;numeric;3,34
MVR_PSH_INT_Artistisch_33;numeric;3,37
MVR_PSH_VAA_Artistisch_33;numeric;3,40
MVR_PSH_Artistisch_gemiddelde;numeric;3,87
MVR_PSH_INT_Sociaal_04;numeric;2,94
MVR_PSH_VAA_Sociaal_04;numeric;2,98
MVR_PSH_INT_Sociaal_10;numeric;3,05
MVR_PSH_VAA_Sociaal_10;numeric;3,08
MVR_PSH_INT_Sociaal_16;numeric;3,14
MVR_PSH_VAA_Sociaal_16;numeric;3,23
MVR_PSH_INT_Sociaal_22;numeric;3,26
MVR_PSH_VAA_Sociaal_22;numeric;3,30
MVR_PSH_INT_Sociaal_28;numeric;3,33
MVR_PSH_VAA_Sociaal_28;numeric;3,34
MVR_PSH_INT_Sociaal_34;numeric;3,43
MVR_PSH_VAA_Sociaal_34;numeric;3,48
MVR_PSH_Sociaal_gemiddelde;numeric;3,87
MVR_PSH_INT_Ondernemend_05;numeric;2,96
MVR_PSH_VAA_Ondernemend_05;numeric;2,98
MVR_PSH_INT_Ondernemend_11;numeric;3,05
MVR_PSH_VAA_Ondernemend_11;numeric;3,08
MVR_PSH_INT_Ondernemend_17;numeric;3,14
MVR_PSH_VAA_Ondernemend_17;numeric;3,23
MVR_PSH_INT_Ondernemend_23;numeric;3,26
MVR_PSH_VAA_Ondernemend_23;numeric;3,30
MVR_PSH_INT_Ondernemend_29;numeric;3,37
MVR_PSH_VAA_Ondernemend_29;numeric;3,40
MVR_PSH_INT_Ondernemend_35;numeric;3,43
MVR_PSH_VAA_Ondernemend_35;numeric;3,48
MVR_PSH_INT_Ondernemend_gemiddelde;numeric;3,87
MVR_PSH_INT_Conventioneel_06;numeric;2,94
MVR_PSH_VAA_Conventioneel_06;numeric;2,98
MVR_PSH_INT_Conventioneel_12;numeric;3,05
MVR_PSH_VAA_Conventioneel_12;numeric;3,08
MVR_PSH_INT_Conventioneel_18;numeric;3,14
MVR_PSH_VAA_Conventioneel_18;numeric;3,23
MVR_PSH_INT_Conventioneel_24;numeric;3,33
MVR_PSH_VAA_Conventioneel_24;numeric;3,34
MVR_PSH_INT_Conventioneel_30;numeric;3,37
MVR_PSH_VAA_Conventioneel_30;numeric;3,40
MVR_PSH_INT_Conventioneel_36;numeric;3,43
MVR_PSH_VAA_Conventioneel_36;numeric;3,48
MVR_PSH_INT_gemiddelde;numeric;3,87
MVR_PSH_Extern_SRQA01;numeric;3,70
MVR_PSH_Extern_SRQA05;numeric;3,67
MVR_PSH_Extern_SRQA09;numeric;3,67
MVR_PSH_Extern_SRQA13;numeric;3,69
MVR_PSH_Extern_gemiddelde;numeric;3,87
MVR_PSH_Introjectie_SRQA02;numeric;3,69
MVR_PSH_Introjectie_SRQA06;numeric;3,67
MVR_PSH_Introjectie_SRQA10;numeric;3,67
MVR_PSH_Introjectie_SRQA14;numeric;3,69
MVR_PSH_Introjectie_gemiddelde;numeric;3,87
MVR_PSH_Geidentificeerd_SRQA03;numeric;3,69
MVR_PSH_Geidentificeerd_SRQA07;numeric;3,67
MVR_PSH_Geidentificeerd_SRQA11;numeric;3,69
MVR_PSH_Geidentificeerd_SRQA15;numeric;3,69
MVR_PSH_Geidentificeerd_gemiddelde;numeric;3,87
MVR_PSH_Intrinsiek_SRQA04;numeric;3,70
MVR_PSH_Intrinsiek_SRQA08;numeric;3,67
MVR_PSH_Intrinsiek_SRQA12;numeric;3,69
MVR_PSH_Intrinsiek_SRQA16;numeric;3,69
MVR_PSH_Intrinsiek_gemiddelde;numeric;3,87
MVR_BFI_Extraversie_BFI01;numeric;3,75
MVR_BFI_Extraversie_BFI06;numeric;3,75
MVR_BFI_Extraversie_BFI11R;numeric;3,76
MVR_BFI_Extraversie_BFI16R;numeric;3,79
MVR_BFI_Extraversie_BFI21;numeric;3,79
MVR_BFI_Extraversie_BFI26R;numeric;3,79
MVR_BFI_Extraversie_BFI31R;numeric;3,80
MVR_BFI_Extraversie_BFI36;numeric;3,81
MVR_BFI_Extraversie_BFI41;numeric;3,83
MVR_BFI_Extraversie_BFI46;numeric;3,84
MVR_BFI_Extraversie_BFI51R;numeric;3,84
MVR_BFI_Extraversie_BFI56;numeric;3,85
MVR_BFI_Extraversie_gemiddelde;numeric;3,87
MVR_Vriendelijkheid_BFI02;numeric;3,75
MVR_Vriendelijkheid_BFI07;numeric;3,75
MVR_Vriendelijkheid_BFI12R;numeric;3,76
MVR_Vriendelijkheid_BFI17R;numeric;3,79
MVR_Vriendelijkheid_BFI22R;numeric;3,79
MVR_Vriendelijkheid_BFI27;numeric;3,79
MVR_Vriendelijkheid_BFI32;numeric;3,80
MVR_Vriendelijkheid_BFI37R;numeric;3,81
MVR_Vriendelijkheid_BFI42R;numeric;3,83
MVR_Vriendelijkheid_BFI47R;numeric;3,84
MVR_Vriendelijkheid_BFI52;numeric;3,85
MVR_Vriendelijkheid_BFI57;numeric;3,86
MVR_Vriendelijkheid_gemiddelde;numeric;3,87
MVR_Conscientieusheid_BFI03R;numeric;3,75
MVR_Conscientieusheid_BFI08R;numeric;3,75
MVR_Conscientieusheid_BFI13;numeric;3,76
MVR_Conscientieusheid_BFI18;numeric;3,79
MVR_Conscientieusheid_BFI23R;numeric;3,79
MVR_Conscientieusheid_BFI28R;numeric;3,79
MVR_Conscientieusheid_BFI33;numeric;3,80
MVR_Conscientieusheid_BFI38;numeric;3,81
MVR_Conscientieusheid_BFI43;numeric;3,83
MVR_Conscientieusheid_BFI48R;numeric;3,84
MVR_Conscientieusheid_BFI53;numeric;3,85
MVR_Conscientieusheid_BFI58R;numeric;3,86
MVR_Conscientieusheid_gemiddelde;numeric;3,87
MVR_Negatief_emotioneel_BFI04R;numeric;3,75
MVR_Negatief_emotioneel_BFI09R;numeric;3,75
MVR_Negatief_emotioneel_BFI14;numeric;3,76
MVR_Negatief_emotioneel_BFI19;numeric;3,79
MVR_Negatief_emotioneel_BFI24R;numeric;3,79
MVR_Negatief_emotioneel_BFI29R;numeric;3,79
MVR_Negatief_emotioneel_BFI34;numeric;3,80
MVR_Negatief_emotioneel_BFI39;numeric;3,81
MVR_Negatief_emotioneel_BFI44R;numeric;3,83
MVR_Negatief_emotioneel_BFI49R;numeric;3,84
MVR_Negatief_emotioneel_BFI54;numeric;3,85
MVR_Negatief_emotioneel_BFI59;numeric;3,86
MVR_Negatief_emotioneel_gemiddelde;numeric;3,87
MVR_Openheid_voor_ervaring_BFI05R;numeric;3,75
MVR_Openheid_voor_ervaring_BFI10;numeric;3,75
MVR_Openheid_voor_ervaring_BFI15;numeric;3,76
MVR_Openheid_voor_ervaring_BFI20;numeric;3,79
MVR_Openheid_voor_ervaring_BFI25R;numeric;3,79
MVR_Openheid_voor_ervaring_BFI30R;numeric;3,79
MVR_Openheid_voor_ervaring_BFI35;numeric;3,80
MVR_Openheid_voor_ervaring_BFI40;numeric;3,81
MVR_Openheid_voor_ervaring_BFI45R;numeric;3,83
MVR_Openheid_voor_ervaring_BFI50R;numeric;3,84
MVR_Openheid_voor_ervaring_BFI55R;numeric;3,85
MVR_Openheid_voor_ervaring_BFI60;numeric;3,86
MVR_Openheid_voor_ervaring_gemiddelde;numeric;3,87
MVR_BSE1;numeric;2,30
MVR_BSE2;numeric;2,38
MVR_BSE3;numeric;2,47
MVR_BSE4;numeric;2,54
MVR_BSE5;numeric;2,62
MVR_BSE_gemiddelde;numeric;3,87
MVR_EBA1;numeric;2,30
MVR_EBA2;numeric;2,38
MVR_EBA3;numeric;2,47
MVR_EBA4;numeric;2,54
MVR_EBA5;numeric;2,62
MVR_EBA_gemiddelde;numeric;3,87
MVR_HUM1;numeric;2,30
MVR_HUM2;numeric;2,38
MVR_HUM3;numeric;2,47
MVR_HUM4;numeric;2,54
MVR_HUM5;numeric;2,62
MVR_HUM_gemiddelde;numeric;3,87
MVR_LPA1;numeric;2,30
MVR_LPA2;numeric;2,38
MVR_LPA3;numeric;2,47
MVR_LPA4;numeric;2,54
MVR_LPA5;numeric;2,62
MVR_LPA_gemiddelde;numeric;3,87
MVR_LSMH1;numeric;2,30
MVR_LSMH2;numeric;2,38
MVR_LSMH3;numeric;2,47
MVR_LSMH4;numeric;2,54
MVR_LSMH5;numeric;2,62
MVR_LSMH_gemiddelde;numeric;3,87
MVR_SCT1;numeric;2,75
MVR_SCT2;numeric;2,71
MVR_SCT3;numeric;2,71
MVR_SCT4;numeric;2,76
MVR_SCT5;numeric;2,83
MVR_SCT_gemiddelde;numeric;3,87
MVR_SOSC1;numeric;2,75
MVR_SOSC2;numeric;2,76
MVR_SOSC3;numeric;2,76
MVR_SOSC4;numeric;2,76
MVR_SOSC5;numeric;2,83
MVR_SOSC_gemiddelde;numeric;3,87
MVR_INTDIS1;numeric;2,75
MVR_INTDIS2;numeric;2,76
MVR_INTDIS3;numeric;2,83
MVR_INTDIS4;numeric;2,84
MVR_INTDIS5;numeric;2,84
MVR_INTDIS_gemiddelde;numeric;3,87
